composite,defagn,defstarform,galname
False,False,True,ECO00001
False,False,True,ECO00003
False,False,True,ECO00004
False,False,True,ECO00005
False,False,True,ECO00006
False,False,True,ECO00008
False,False,True,ECO00009
False,False,True,ECO00010
False,False,True,ECO00011
False,False,True,ECO00012
False,False,True,ECO00013
False,False,True,ECO00014
False,False,True,ECO00015
False,False,True,ECO00016
False,False,True,ECO00017
False,False,True,ECO00018
False,False,True,ECO00019
False,False,True,ECO00020
False,False,True,ECO00021
False,False,True,ECO00022
False,False,True,ECO00023
False,False,True,ECO00024
False,False,True,ECO00025
False,False,True,ECO00027
False,False,True,ECO00028
False,False,True,ECO00029
False,False,True,ECO00030
False,False,True,ECO00031
False,False,True,ECO00032
False,False,True,ECO00033
False,False,True,ECO00034
False,False,True,ECO00035
False,False,True,ECO00036
False,False,True,ECO00037
False,False,True,ECO00038
False,False,True,ECO00039
False,False,True,ECO00040
False,False,True,ECO00042
False,False,True,ECO00044
False,False,True,ECO00047
False,False,True,ECO00048
False,False,True,ECO00050
False,False,True,ECO00051
False,False,True,ECO00052
False,False,True,ECO00053
False,False,True,ECO00054
False,False,True,ECO00055
False,False,True,ECO00057
False,False,True,ECO00058
False,False,True,ECO00059
False,False,True,ECO00060
False,False,True,ECO00061
False,False,True,ECO00062
False,False,True,ECO00063
False,False,True,ECO00064
False,False,True,ECO00067
False,False,True,ECO00068
False,False,True,ECO00069
False,False,True,ECO00070
False,False,True,ECO00071
False,False,True,ECO00072
False,False,True,ECO00073
False,False,True,ECO00077
False,False,True,ECO00078
False,False,True,ECO00079
False,False,True,ECO00080
False,False,True,ECO00081
False,False,True,ECO00082
False,False,True,ECO00083
False,False,True,ECO00084
False,False,True,ECO00085
False,False,True,ECO00086
False,False,True,ECO00087
False,False,True,ECO00088
False,False,True,ECO00089
False,False,True,ECO00091
False,False,True,ECO00092
False,False,True,ECO00093
False,False,True,ECO00094
False,False,True,ECO00095
False,False,True,ECO00097
False,False,True,ECO00098
False,False,True,ECO00099
False,False,True,ECO00100
False,False,True,ECO00101
False,False,True,ECO00102
False,False,True,ECO00103
False,False,True,ECO00104
False,False,True,ECO00105
False,False,True,ECO00106
False,False,True,ECO00107
False,False,True,ECO00108
False,False,True,ECO00109
False,False,True,ECO00111
False,False,True,ECO00112
False,False,True,ECO00113
False,False,True,ECO00114
False,False,True,ECO00115
False,False,True,ECO00116
False,False,True,ECO00117
False,False,True,ECO00118
False,False,True,ECO00119
False,False,True,ECO00120
False,False,True,ECO00121
False,False,True,ECO00122
False,False,True,ECO00124
False,False,True,ECO00125
False,False,True,ECO00127
False,False,True,ECO00128
False,False,True,ECO00130
False,False,True,ECO00131
False,False,True,ECO00135
False,False,True,ECO00136
False,False,True,ECO00137
False,False,True,ECO00139
False,False,True,ECO00140
False,False,True,ECO00141
False,False,True,ECO00142
False,False,True,ECO00144
False,False,True,ECO00145
False,False,True,ECO00146
False,False,True,ECO00147
False,False,True,ECO00148
False,False,True,ECO00149
False,False,True,ECO00150
False,False,True,ECO00151
False,False,True,ECO00152
False,False,True,ECO00153
False,False,True,ECO00154
False,False,True,ECO00155
False,False,True,ECO00158
False,False,True,ECO00159
False,False,True,ECO00160
False,False,True,ECO00161
False,False,True,ECO00162
False,False,True,ECO00163
False,False,True,ECO00164
False,False,True,ECO00165
False,False,True,ECO00166
False,False,True,ECO00167
False,False,True,ECO00168
False,False,True,ECO00169
False,False,True,ECO00171
False,False,True,ECO00172
False,False,True,ECO00173
False,False,True,ECO00174
False,False,True,ECO00175
False,False,True,ECO00176
False,False,True,ECO00177
False,False,True,ECO00178
False,False,True,ECO00179
False,False,True,ECO00180
False,False,True,ECO00181
False,False,True,ECO00182
False,False,True,ECO00183
False,False,True,ECO00184
False,False,True,ECO00185
False,False,True,ECO00186
False,False,True,ECO00187
False,False,True,ECO00188
False,False,True,ECO00189
False,False,True,ECO00190
False,False,True,ECO00191
False,False,True,ECO00192
False,False,True,ECO00193
False,False,True,ECO00194
False,False,True,ECO00196
False,False,True,ECO00197
False,False,True,ECO00199
False,False,True,ECO00200
False,False,True,ECO00201
False,False,True,ECO00202
False,False,True,ECO00203
False,False,True,ECO00204
False,False,True,ECO00205
False,False,True,ECO00206
False,False,True,ECO00207
False,False,True,ECO00208
False,False,True,ECO00209
False,False,True,ECO00210
False,False,True,ECO00211
False,False,True,ECO00212
False,False,True,ECO00213
False,False,True,ECO00214
False,False,True,ECO00215
False,False,True,ECO00216
False,False,True,ECO00217
False,False,True,ECO00218
False,False,True,ECO00219
False,False,True,ECO00220
False,False,True,ECO00221
False,False,True,ECO00222
False,False,True,ECO00223
False,False,True,ECO00224
False,False,True,ECO00225
False,False,True,ECO00226
False,False,True,ECO00227
False,False,True,ECO00228
False,False,True,ECO00229
False,False,True,ECO00231
False,False,True,ECO00233
False,False,True,ECO00234
False,False,True,ECO00235
False,False,True,ECO00236
False,False,True,ECO00237
False,False,True,ECO00238
False,False,True,ECO00239
False,False,True,ECO00240
False,False,True,ECO00242
False,False,True,ECO00243
False,False,True,ECO00247
False,False,True,ECO00248
False,False,True,ECO00249
False,False,True,ECO00250
False,False,True,ECO00251
False,False,True,ECO00252
False,False,True,ECO00253
False,False,True,ECO00255
False,False,True,ECO00256
False,False,True,ECO00257
False,False,True,ECO00258
False,False,True,ECO00259
False,False,True,ECO00260
False,False,True,ECO00261
False,False,True,ECO00263
False,False,True,ECO00265
False,False,True,ECO00266
False,False,True,ECO00267
False,False,True,ECO00268
False,False,True,ECO00269
False,False,True,ECO00270
False,False,True,ECO00271
False,False,True,ECO00272
False,False,True,ECO00273
False,False,True,ECO00274
False,False,True,ECO00275
False,False,True,ECO00276
False,False,True,ECO00277
False,False,True,ECO00278
False,False,True,ECO00280
False,False,True,ECO00281
False,False,True,ECO00282
False,False,True,ECO00283
False,False,True,ECO00284
False,False,True,ECO00285
False,False,True,ECO00286
False,False,True,ECO00287
False,False,True,ECO00288
False,False,True,ECO00289
False,True,False,ECO00291
False,False,True,ECO00295
False,False,True,ECO00296
False,False,True,ECO00297
False,False,True,ECO00298
False,False,True,ECO00299
False,False,True,ECO00300
False,False,True,ECO00301
False,False,True,ECO00302
False,False,True,ECO00303
False,False,True,ECO00304
False,False,True,ECO00305
False,False,True,ECO00306
False,False,True,ECO00307
False,False,True,ECO00308
False,False,True,ECO00309
False,False,True,ECO00310
False,False,True,ECO00311
False,False,True,ECO00312
False,False,True,ECO00313
False,False,True,ECO00314
