agntosf,ambigagn,composite,defagn,defliner,defseyf,defstarform,galname,heiisel,sftoagn
False,False,False,False,False,False,False,ECO00087,True,False
False,False,False,False,False,False,False,ECO00231,True,False
False,False,False,False,False,False,True,ECO00253,False,False
False,False,False,False,False,False,False,ECO00300,True,True
False,False,False,False,False,False,False,ECO00314,True,False
False,False,False,False,False,False,True,ECO00347,False,False
False,False,False,False,False,False,False,ECO00579,True,True
False,False,False,False,False,False,False,ECO00581,True,True
False,False,False,False,False,False,False,ECO00585,True,False
False,False,True,False,False,False,False,ECO00593,True,False
False,False,False,False,False,False,False,ECO00615,True,False
False,False,False,False,False,False,False,ECO00616,True,True
False,False,False,False,False,False,False,ECO00627,True,False
False,False,False,False,False,False,True,ECO00642,False,False
False,False,False,False,False,False,True,ECO00655,False,False
False,False,False,False,False,False,True,ECO00881,False,False
False,False,False,False,False,False,False,ECO00906,True,True
False,False,False,False,False,False,False,ECO01064,True,False
False,False,False,False,False,False,True,ECO01070,False,False
False,False,False,False,False,False,False,ECO01091,True,False
False,False,False,False,False,False,True,ECO01244,False,False
False,False,False,False,False,False,False,ECO01304,True,True
False,False,False,False,False,False,False,ECO01401,True,False
False,False,False,True,False,True,False,ECO01411,True,False
False,False,False,False,False,False,False,ECO01441,True,False
False,False,False,False,False,False,True,ECO01464,False,False
False,False,False,False,False,False,False,ECO01517,True,False
False,False,False,False,False,False,False,ECO01566,True,False
False,False,True,False,False,False,False,ECO01570,True,False
False,False,False,False,False,False,False,ECO01661,True,False
False,False,False,True,False,True,False,ECO01677,True,False
False,False,False,False,False,False,True,ECO01690,False,False
False,False,False,False,False,False,False,ECO01814,True,False
False,False,False,False,False,False,False,ECO01849,True,False
False,False,False,False,False,False,False,ECO01920,True,True
False,False,False,False,False,False,True,ECO01959,False,False
False,False,False,False,False,False,False,ECO02110,True,False
False,False,False,False,False,False,False,ECO02143,True,False
False,False,False,False,False,False,False,ECO02174,True,True
False,False,False,False,False,False,True,ECO02175,False,False
False,False,False,False,False,False,False,ECO02199,True,False
False,False,False,False,False,False,False,ECO02202,True,True
False,False,False,False,False,False,False,ECO02253,True,False
False,True,False,True,False,False,False,ECO02259,True,False
False,False,False,True,False,True,False,ECO02323,True,False
False,False,True,False,False,False,False,ECO02332,True,False
False,False,False,False,False,False,False,ECO02434,True,False
False,False,False,False,False,False,True,ECO02454,False,False
