name,mw3,emw3,mw3_exp,emw3_exp,mw3_ap,emw3_ap
ECOaddrs0004,0,0,0,0,0,0
ECOaddrs0024,0,0,0,0,0,0
ECOaddrs0026,0,0,0,0,0,0
ECOaddrs0028,0,0,0,0,0,0
ECOaddrs0037,0,0,0,0,0,0
ECOaddrs0058,0,0,0,0,0,0
ECOaddrs0079,0,0,0,0,0,0
ECOaddrs0161,0,0,0,0,0,0
ECOaddrs0164,0,0,0,0,0,0
ECOaddrs0207,0,0,0,0,0,0
ECOaddrs0217,0,0,0,0,0,0
ECOaddrs0223,0,0,0,0,0,0
ECOaddrs0230,0,0,0,0,0,0
ECOaddrs0233,0,0,0,0,0,0
ECOaddrs0235,0,0,0,0,0,0
ECOaddrs0238,0,0,0,0,0,0
ECOaddrs0245,0,0,0,0,0,0
ECOaddrs0248,0,0,0,0,0,0
ECOaddrs0252,0,0,0,0,0,0
ECOaddrs0265,0,0,0,0,0,0
ECOaddrs0272,0,0,0,0,0,0
ECOaddrs0281,0,0,0,0,0,0
ECOaddrs0285,0,0,0,0,0,0
ECOaddrs0286,0,0,0,0,0,0
ECOaddrs0287,0,0,0,0,0,0
ECOaddrs0291,0,0,0,0,0,0
ECOaddrs0293,0,0,0,0,0,0
ECOaddrs0294,0,0,0,0,0,0
ECOaddrs0295,0,0,0,0,0,0
ECOaddrs0298,0,0,0,0,0,0
ECOaddrs0304,0,0,0,0,0,0
ECOaddrs0307,0,0,0,0,0,0
ECOaddrs0309,0,0,0,0,0,0
ECOaddrs0312,0,0,0,0,0,0
ECOaddrs0326,0,0,0,0,0,0
ECOaddrs0333,0,0,0,0,0,0
ECOaddrs0342,0,0,0,0,0,0
ECOaddrs0345,0,0,0,0,0,0
ECOaddrs0357,0,0,0,0,0,0
ECOaddrs0368,0,0,0,0,0,0
ECOaddrs0369,0,0,0,0,0,0
ECOaddrs0370,0,0,0,0,0,0
ECOaddrs0412,0,0,0,0,0,0
ECOaddrs0413,0,0,0,0,0,0
ECOaddrs0414,0,0,0,0,0,0
ECOaddrs0415,0,0,0,0,0,0
ECOaddrs0426,0,0,0,0,0,0
ECOaddrs0431,0,0,0,0,0,0
ECOaddrs0441,0,0,0,0,0,0
ECOaddrs0443,0,0,0,0,0,0
ECOaddrs0450,0,0,0,0,0,0
ECOaddrs0455,0,0,0,0,0,0
ECOaddrs0457,0,0,0,0,0,0
ECOaddrs0459,0,0,0,0,0,0
ECOaddrs0462,0,0,0,0,0,0
ECOaddrs0464,0,0,0,0,0,0
ECOaddrs0465,0,0,0,0,0,0
ECOaddrs0467,0,0,0,0,0,0
ECOaddrs0471,0,0,0,0,0,0
ECOaddrs0475,0,0,0,0,0,0
ECOaddrs0479,0,0,0,0,0,0
ECOaddrs0483,0,0,0,0,0,0
ECOaddrs0488,0,0,0,0,0,0
ECOaddrs0489,0,0,0,0,0,0
ECOaddrs0499,0,0,0,0,0,0
ECOaddrs0500,0,0,0,0,0,0
ECOaddrs0504,0,0,0,0,0,0
ECOaddrs0506,0,0,0,0,0,0
ECOaddrs0518,0,0,0,0,0,0
ECOaddrs0523,0,0,0,0,0,0
ECOaddrs0525,0,0,0,0,0,0
ECOaddrs0527,0,0,0,0,0,0
ECOaddrs0530,0,0,0,0,0,0
ECOaddrs0535,0,0,0,0,0,0
ECOaddrs0539,0,0,0,0,0,0
ECOaddrs0551,0,0,0,0,0,0
ECOaddrs0557,0,0,0,0,0,0
