,flux,lam
0,1.7371048073855789e-16,400.1
1,1.7390285609689194e-16,400.15
2,1.7409554289135907e-16,400.2
3,1.742887300631984e-16,400.25
4,1.7448223647423952e-16,400.3
5,1.7467626427750184e-16,400.35
6,1.7487060393342792e-16,400.4
7,1.7506544355022022e-16,400.45
8,1.752606028528669e-16,400.5
9,1.7545627165244084e-16,400.55
10,1.756521521832858e-16,400.6
11,1.7584834293165455e-16,400.65
12,1.7604493389124229e-16,400.7
13,1.7624225442435752e-16,400.75
14,1.7643978855045202e-16,400.8
15,1.7662818598596535e-16,400.85
16,1.767348153186561e-16,400.9
17,1.7667786473693447e-16,400.95
18,1.7659525249080057e-16,401.0
19,1.7651271258986118e-16,401.05
20,1.7643022817822015e-16,401.1
21,1.763478371868178e-16,401.15
22,1.7626549399706364e-16,401.2
23,1.7618322309729417e-16,401.25
24,1.7610100777215653e-16,401.3
25,1.7601889224268338e-16,401.35
26,1.7593688092641562e-16,401.4
27,1.758550471322862e-16,401.45
28,1.757732301206598e-16,401.5
29,1.7569139984937171e-16,401.55
30,1.756096451465696e-16,401.6
31,1.7552804673274187e-16,401.65
32,1.7544647284177272e-16,401.7
33,1.753649080658682e-16,401.75
34,1.7528342253997016e-16,401.8
35,1.7520209834614967e-16,401.85
36,1.7512084397612374e-16,401.9
37,1.750396839922106e-16,401.95
38,1.7495858337740484e-16,402.0
39,1.7487757448910766e-16,402.05
40,1.747966022918409e-16,402.1
41,1.7471568643295508e-16,402.15
42,1.746348799003688e-16,402.2
43,1.7455427100360927e-16,402.25
44,1.7447367073232076e-16,402.3
45,1.7439303652042769e-16,402.35
46,1.7431248651102664e-16,402.4
47,1.7423211299461245e-16,402.45
48,1.741517559343805e-16,402.5
49,1.7407138723799739e-16,402.55
50,1.739911064357075e-16,402.6
51,1.7391100721967888e-16,402.65
52,1.7383097013230615e-16,402.7
53,1.7375100492075535e-16,402.75
54,1.7367109592397599e-16,402.8
55,1.735932317763865e-16,402.85
56,1.7353223851132594e-16,402.9
57,1.7350385361541772e-16,402.95
58,1.7348061996159835e-16,403.0
59,1.7345747758258678e-16,403.05
60,1.7343437204543842e-16,403.1
61,1.7341131479773488e-16,403.15
62,1.7338829897287552e-16,403.2
63,1.733653522062343e-16,403.25
64,1.7334243884845384e-16,403.3
65,1.7331957374496598e-16,403.35
66,1.7329675012961142e-16,403.4
67,1.7327399416231824e-16,403.45
68,1.7325126010416785e-16,403.5
69,1.7322855352400604e-16,403.55
70,1.7320589658909828e-16,403.6
71,1.7318333065781087e-16,403.65
72,1.731608016587919e-16,403.7
73,1.7313831949135077e-16,403.75
74,1.731158673700864e-16,403.8
75,1.7309346341522618e-16,403.85
76,1.7307110111173632e-16,403.9
77,1.730488089953788e-16,403.95
78,1.730265620085989e-16,404.0
79,1.730043824589361e-16,404.05
80,1.729822248485565e-16,404.1
81,1.7296009470110135e-16,404.15
82,1.72938014485209e-16,404.2
83,1.7291602227178388e-16,404.25
84,1.728940438103793e-16,404.3
85,1.7287207081880075e-16,404.35
86,1.7285014441871925e-16,404.4
87,1.728283100305978e-16,404.45
88,1.728065243557568e-16,404.5
89,1.7278480594222187e-16,404.55
90,1.7276310949309043e-16,404.6
91,1.7274143911931873e-16,404.65
92,1.727198072301627e-16,404.7
93,1.7269824390950383e-16,404.75
94,1.7267671426142698e-16,404.8
95,1.7265122912635655e-16,404.85
96,1.7259181325758785e-16,404.9
97,1.7246891367711654e-16,404.95
98,1.7233626578676173e-16,405.0
99,1.7220392588329803e-16,405.05
100,1.720716455662114e-16,405.1
101,1.7193940794985187e-16,405.15
102,1.7180734997407173e-16,405.2
103,1.7167563124412544e-16,405.25
104,1.7154405779478143e-16,405.3
105,1.7141265924484645e-16,405.35
106,1.7128128797762117e-16,405.4
107,1.7114993624147332e-16,405.45
108,1.7101874950971392e-16,405.5
109,1.7088788107908686e-16,405.55
110,1.7075716651075376e-16,405.6
111,1.7062666796699026e-16,405.65
112,1.7049636540505562e-16,405.7
113,1.7036636821393956e-16,405.75
114,1.7023641862719024e-16,405.8
115,1.7010647887612644e-16,405.85
116,1.6997662197881246e-16,405.9
117,1.6984693870586772e-16,405.95
118,1.697174569328141e-16,406.0
119,1.6958830177747818e-16,406.05
120,1.6945919751378536e-16,406.1
121,1.6933011302741595e-16,406.15
122,1.6920119477664717e-16,406.2
123,1.6907259233893574e-16,406.25
124,1.689441324222301e-16,406.3
125,1.6881585632396568e-16,406.35
126,1.686876906013256e-16,406.4
127,1.6855968688991724e-16,406.45
128,1.6843179023923484e-16,406.5
129,1.6830405410667542e-16,406.55
130,1.6817641318094957e-16,406.6
131,1.6804891385183503e-16,406.65
132,1.6792153028328453e-16,406.7
133,1.677943401958794e-16,406.75
134,1.6766734440126912e-16,406.8
135,1.675285589700058e-16,406.85
136,1.672886823954068e-16,406.9
137,1.6686591179516171e-16,406.95
138,1.6988267338601871e-16,407.0
139,1.6983311609365048e-16,407.05
140,1.6978356555337088e-16,407.1
141,1.6973402242874729e-16,407.15
142,1.6968448695261031e-16,407.2
143,1.6963496024254712e-16,407.25
144,1.6958544328808786e-16,407.3
145,1.695359351928346e-16,407.35
146,1.6948643767973411e-16,407.4
147,1.6943694987567143e-16,407.45
148,1.69387474458199e-16,407.5
149,1.6933801018167286e-16,407.55
150,1.6928855825681242e-16,407.6
151,1.6923911985941232e-16,407.65
152,1.6918969493126497e-16,407.7
153,1.691402837401256e-16,407.75
154,1.6909088706597688e-16,407.8
155,1.690415054676123e-16,407.85
156,1.6899213920114563e-16,407.9
157,1.6894278967520223e-16,407.95
158,1.6889345595845953e-16,408.0
159,1.6884413956431672e-16,408.05
160,1.6879484115634115e-16,408.1
161,1.68745561176911e-16,408.15
162,1.6869629889260977e-16,408.2
163,1.686470563639887e-16,408.25
164,1.6859783389372751e-16,408.3
165,1.685486304922961e-16,408.35
166,1.6849944853456692e-16,408.4
167,1.6845028779935092e-16,408.45
168,1.6840114847291263e-16,408.5
169,1.683520315331407e-16,408.55
170,1.6830293600214647e-16,408.6
171,1.6825386491836982e-16,408.65
172,1.6820481678005312e-16,408.7
173,1.6815579197136688e-16,408.75
174,1.6810679223854097e-16,408.8
175,1.6805781753500926e-16,408.85
176,1.6800886779092253e-16,408.9
177,1.6795994392596187e-16,408.95
178,1.679110470809974e-16,409.0
179,1.6786217625485734e-16,409.05
180,1.6781333300750706e-16,409.1
181,1.6776451693149286e-16,409.15
182,1.6771572902798654e-16,409.2
183,1.6766696968115867e-16,409.25
184,1.6761823939159514e-16,409.3
185,1.6756953806616369e-16,409.35
186,1.6752086690394207e-16,409.4
187,1.674722258700058e-16,409.45
188,1.674236149643548e-16,409.5
189,1.6737503566546366e-16,409.55
190,1.6732648784527558e-16,409.6
191,1.6727797134080903e-16,409.65
192,1.6722948761889712e-16,409.7
193,1.6718103620223703e-16,409.75
194,1.6713261812692508e-16,409.8
195,1.6708423321833834e-16,409.85
196,1.6703588237287477e-16,409.9
197,1.6698756630066784e-16,409.95
198,1.6693928397726268e-16,410.0
199,1.6689103761455044e-16,410.05
200,1.668428260833025e-16,410.1
201,1.667946504079737e-16,410.15
202,1.6674651096109304e-16,410.2
203,1.6669840811518952e-16,410.25
204,1.6665034262696282e-16,410.3
205,1.6660231333225966e-16,410.35
206,1.6655432271072642e-16,410.4
207,1.6650636998238043e-16,410.45
208,1.6645845567109066e-16,410.5
209,1.6641057977685706e-16,410.55
210,1.663627429283224e-16,410.6
211,1.6631494546309116e-16,410.65
212,1.6626718871993945e-16,410.7
213,1.6621947120875122e-16,410.75
214,1.661717949784361e-16,410.8
215,1.6612415895797314e-16,410.85
216,1.6607656456762926e-16,410.9
217,1.6602901155129077e-16,410.95
218,1.6598150043282657e-16,411.0
219,1.659340313868597e-16,411.05
220,1.6588660500710832e-16,411.1
221,1.6583922128193081e-16,411.15
222,1.6579188032774258e-16,411.2
223,1.657445834949613e-16,411.25
224,1.6569733027135955e-16,411.3
225,1.656501212506555e-16,411.35
226,1.6560295614181086e-16,411.4
227,1.65555836702697e-16,411.45
228,1.6550876187393442e-16,411.5
229,1.6546173243550585e-16,411.55
230,1.65414748119656e-16,411.6
231,1.6536781050963327e-16,411.65
232,1.653209188487381e-16,411.7
233,1.6527407373068856e-16,411.75
234,1.6522727586561815e-16,411.8
235,1.6518052477622406e-16,411.85
236,1.6513382084667683e-16,411.9
237,1.6508716443786398e-16,411.95
238,1.6504055643454197e-16,412.0
239,1.6499399668537082e-16,412.05
