agntosf,ambigagn,composite,defliner,defseyf,defstarform,galname,heiisel,sftoagn
False,False,False,False,False,False,rf0003,False,False
False,False,False,False,False,False,rf0006,False,False
False,False,False,False,False,False,rf0012,False,False
False,False,False,False,True,False,rf0013,False,False
False,False,False,False,False,False,rf0017,False,False
False,False,True,False,False,False,rf0022,False,False
False,False,False,False,False,False,rf0023,False,False
False,False,False,False,False,False,rf0024,False,False
False,False,False,False,False,False,rf0026,False,False
False,False,False,False,False,False,rf0028,False,False
False,False,False,False,False,False,rf0030,True,False
False,False,False,False,False,False,rf0031,False,False
False,False,False,False,False,False,rf0032,False,True
False,False,False,False,False,False,rf0033,False,False
False,False,False,False,False,False,rf0034,False,False
False,False,False,False,False,False,rf0040,False,False
False,False,False,False,False,False,rf0043,False,False
False,False,False,False,False,False,rf0048,False,False
False,False,False,False,False,False,rf0051,False,False
False,False,False,False,False,False,rf0058,False,False
False,False,False,False,False,False,rf0060,False,False
False,False,False,False,False,False,rf0065,False,False
False,False,False,False,False,False,rf0070,False,False
False,False,False,False,False,False,rf0071,False,False
False,False,False,False,False,False,rf0072,False,False
False,False,False,False,False,False,rf0073,False,False
False,False,False,False,False,False,rf0076,False,False
False,False,False,False,False,True,rf0077,False,False
False,False,False,False,False,False,rf0079,False,False
False,False,False,False,False,False,rf0083,False,False
False,False,False,False,False,False,rf0084,True,False
False,False,False,False,False,False,rf0099,False,False
False,False,False,False,False,False,rf0102,False,False
False,False,False,False,False,False,rf0105,False,False
False,False,False,False,False,False,rf0108,False,False
False,False,False,False,False,False,rf0109,False,False
False,False,False,False,False,False,rf0111,False,False
False,True,False,False,False,False,rf0113,False,False
False,False,False,False,False,True,rf0118,False,False
False,False,False,False,False,False,rf0123,False,False
False,False,False,False,False,False,rf0126,False,False
False,False,False,False,True,False,rf0127,False,False
False,False,False,False,False,False,rf0128,False,True
False,False,False,False,False,False,rf0132,False,False
False,False,False,False,False,False,rf0134,False,False
False,False,False,False,False,False,rf0136,False,False
False,False,False,False,False,False,rf0143,False,False
False,False,False,False,False,False,rf0154,False,False
False,False,False,False,False,False,rf0162,False,False
False,False,False,False,False,False,rf0164,False,False
False,False,False,False,False,False,rf0167,False,False
False,False,False,False,False,False,rf0169,False,False
False,False,False,False,False,False,rf0173,False,False
False,False,False,False,False,False,rf0175,False,False
False,False,False,False,False,False,rf0176,True,False
False,False,False,False,False,False,rf0179,False,False
False,False,False,False,False,False,rf0180,False,False
False,False,False,False,False,False,rf0181,False,False
False,False,True,False,False,False,rf0190,False,False
False,False,False,False,False,False,rf0192,False,True
False,False,False,False,False,False,rf0193,False,False
False,False,False,False,False,False,rf0195,False,False
False,False,False,False,False,False,rf0206,False,False
False,False,False,False,False,False,rf0226,False,False
False,False,False,False,False,False,rf0227,False,False
False,False,False,False,False,False,rf0229,False,False
False,False,False,False,False,False,rf0235,False,False
False,False,False,False,False,True,rf0236,False,False
False,False,False,False,False,False,rf0238,False,True
False,False,False,False,False,False,rf0239,False,False
False,False,False,False,False,False,rf0240,False,False
False,False,False,False,True,False,rf0248,False,False
False,False,False,False,False,False,rf0251,False,False
False,False,False,False,False,False,rf0258,False,False
False,False,False,False,False,False,rf0262,False,False
False,False,False,False,False,False,rf0263,False,False
False,False,False,False,False,False,rf0264,True,False
False,False,False,False,False,False,rf0265,False,False
False,False,False,False,False,False,rf0266,False,False
False,False,False,False,False,False,rf0267,False,False
False,False,False,False,False,False,rf0268,False,False
False,False,False,True,False,False,rf0271,False,False
False,False,False,False,False,False,rf0272,False,True
False,False,False,True,False,False,rf0277,False,False
False,False,False,False,False,False,rf0280,False,False
False,False,False,False,False,False,rf0284,False,False
False,False,True,False,False,False,rf0287,False,False
False,False,False,False,False,False,rf0291,False,True
False,False,False,False,False,False,rf0292,False,False
False,False,False,False,False,True,rf0294,False,False
False,False,False,False,False,False,rf0297,False,False
False,False,False,False,False,False,rf0299,False,False
False,False,False,False,False,False,rf0303,False,False
False,False,False,False,False,False,rf0312,False,False
False,False,False,False,False,False,rf0313,False,False
