    azv456  (reddended star)
     azv70  (comparison star)
      2.05440     0.171020  (R_V, unc)
     0.263000    0.0158114  (E(B-V), unc)
      7.40317      1.19760  (N(HI)/A(V), unc) in [10^21 HI atoms/mag]

x [um^-1], E(lambda-V)/E(B-V), unc
 0.455  -1.928   0.220
 0.606  -1.673   0.206
 0.800  -1.392   0.188
 1.235  -1.087   0.156
 1.538  -0.498   0.134
 1.818   0.000   0.000
 2.273   1.000   0.150
 2.703   1.829   0.195
 3.225   2.787   0.215
 3.275   2.673   0.206
 3.325   2.693   0.198
 3.375   2.869   0.206
 3.425   2.996   0.211
 3.475   3.060   0.215
 3.525   3.157   0.218
 3.575   3.344   0.230
 3.625   3.240   0.223
 3.675   3.625   0.247
 3.725   3.659   0.249
 3.775   3.815   0.260
 3.825   3.669   0.248
 3.875   3.873   0.262
 3.925   4.071   0.274
 3.975   4.121   0.278
 4.025   3.844   0.263
 4.075   4.296   0.288
 4.125   4.345   0.293
 4.175   4.638   0.311
 4.225   4.784   0.324
 4.275   4.883   0.333
 4.325   5.049   0.344
 4.375   5.196   0.357
 4.425   5.378   0.372
 4.475   6.302   0.446
 4.525   5.868   0.418
 4.575   6.707   0.473
 4.625   5.968   0.422
 4.675   6.306   0.437
 4.725   6.286   0.454
 4.775   6.032   0.439
 4.825   6.271   0.457
 4.875   6.251   0.463
 4.925   6.150   0.455
 4.975   5.712   0.432
 5.025   5.412   0.440
 5.075   5.998   0.377
 5.125   6.030   0.374
 5.175   6.085   0.377
 5.225   5.892   0.366
 5.275   5.896   0.366
 5.325   5.882   0.365
 5.375   5.926   0.368
 5.425   6.030   0.374
 5.475   5.863   0.364
 5.525   5.829   0.363
 5.575   5.980   0.373
 5.625   5.777   0.360
 5.675   5.840   0.364
 5.725   5.694   0.356
 5.775   5.812   0.363
 5.825   5.677   0.356
 5.875   5.780   0.361
 5.925   5.872   0.368
 5.975   5.787   0.363
 6.025   5.902   0.371
 6.075   5.763   0.363
 6.125   5.929   0.373
 6.175   5.896   0.372
 6.225   5.886   0.373
 6.275   5.887   0.371
 6.325   6.156   0.387
 6.375   6.338   0.398
 6.425   6.242   0.393
 6.475   6.025   0.389
 6.525   6.108   0.387
 6.575   6.243   0.393
 6.625   6.377   0.401
 6.675   6.365   0.401
 6.725   6.553   0.413
 6.775   6.429   0.404
 6.825   6.409   0.405
 6.875   6.370   0.403
 6.925   6.670   0.418
 6.975   6.373   0.404
 7.025   6.568   0.415
 7.075   6.754   0.425
 7.125   6.786   0.427
 7.175   6.720   0.427
 7.225   6.799   0.429
 7.275   7.088   0.444
 7.325   7.055   0.444
 7.375   7.210   0.451
 7.425   7.421   0.466
 7.475   7.286   0.458
 7.525   7.323   0.460
 7.575   7.218   0.455
 7.625   7.585   0.475
 7.675   7.017   0.444
 7.725   7.485   0.470
 7.775   7.743   0.484
 7.825   7.746   0.484
 7.875   7.653   0.478
 7.925   7.721   0.484
 7.975   7.501   0.474
 8.025   7.769   0.486
 8.425   7.767   0.515
 8.475   8.232   0.551
 8.525   8.870   0.634
 8.575   9.765   0.704
 8.625   9.440   0.745
