name	radeg	dedeg	h	m	s
rf0338	37.890219	0.756625	2	31	33.65256
rf0477	353.10547	-0.846938	23	32	25.3128
rs0010	135.21256	1.161232	9	0	51.0144
rs0124	146.2255	2.465314	9	44	54.12
rs0150	147.56018	4.199072	9	50	14.4432
rs0421	169.37328	2.5043	11	17	29.5872
rs0472	171.742	2.333002	11	26	58.08
rs0756	182.76407	0.624143	12	11	3.3768
rs0775	183.25124	0.043855	12	13	0.2976
rs0909	191.53444	4.443553	12	46	8.2656
rs0930	193.88558	2.939978	12	55	32.5392
rs1038	201.14852	1.576874	13	24	35.6448
rs1047	201.64021	2.175054	13	26	33.6504
rs1105	203.76899	3.660743	13	35	4.5576
rs1143	204.62096	2.528471	13	38	29.0304
rf0547	10.71075	-0.815254	0	42	50.58
rs1375	208.1536	0.022462	13	52	36.864
rs0167	148.440496	0.786794	9	53	45.719011
rf0306	32.487482	0.876407	2	9	56.995779
rs0430	169.672975	2.622156	11	18	41.51404
rs0573	178.141246	2.02697	11	52	33.899129
rs0944	195.214075	2.924561	13	0	51.378075
rs0981	198.376882	3.362021	13	13	30.451754
rs1055	201.952324	3.090364	13	27	48.557812
rs0485	172.250122	3.85399	11	29	0.029225
rs0933	194.390452	3.922664	12	57	33.708467
rs1021	200.123717	4.439212	13	20	29.691978
rs0323	161.344858	1.12447	10	45	22.766026
