agntosf,ambigagn,composite,defliner,defseyf,defstarform,galname,heiisel,sftoagn
False,False,False,False,True,False,rf0013,False,False
False,False,False,False,False,False,rf0030,True,False
False,False,False,False,False,False,rf0031,False,False
False,False,False,False,False,False,rf0058,False,False
False,False,False,False,False,False,rf0060,False,False
False,False,False,False,False,False,rf0071,False,False
False,True,False,False,False,False,rf0075,False,False
False,False,False,False,False,True,rf0077,False,False
False,False,False,False,False,False,rf0084,True,False
False,False,False,False,False,False,rf0099,False,False
False,False,False,False,False,False,rf0110,False,False
False,False,False,False,False,True,rf0118,False,False
False,False,False,False,False,False,rf0122,True,False
False,False,False,False,False,False,rf0145,False,False
False,False,False,False,False,False,rf0167,False,False
False,False,False,False,False,False,rf0173,False,False
False,False,False,False,False,False,rf0176,True,False
False,False,True,False,False,False,rf0190,False,False
False,False,False,False,False,True,rf0191,False,False
False,False,False,False,False,False,rf0209,False,False
False,False,False,False,False,True,rf0236,False,False
False,False,False,False,True,False,rf0248,False,False
False,False,True,False,False,False,rf0261,False,False
False,False,False,False,False,False,rf0264,True,False
False,False,False,False,False,False,rf0269,True,False
False,False,False,False,False,True,rf0294,False,False
False,False,False,False,False,False,rf0339,False,False
False,False,False,False,False,False,rf0341,False,False
False,False,False,False,False,False,rf0354,False,False
False,False,False,False,True,False,rf0362,False,False
False,False,False,False,True,False,rf0372,False,False
False,False,False,False,False,False,rf0383,False,False
False,False,False,False,False,False,rf0400,False,False
False,False,False,False,False,False,rf0403,False,False
False,False,False,False,False,False,rf0430,True,False
False,False,False,False,False,False,rf0437,False,False
False,False,True,False,False,False,rf0493,False,False
False,False,False,False,False,False,rf0583,True,False
False,False,False,False,False,False,rf0684,False,False
False,False,False,False,False,False,rf0686,False,True
False,False,False,False,True,False,rs0014,False,False
False,False,True,False,False,False,rs0022,False,False
False,False,False,False,False,False,rs0052,True,False
False,False,False,False,False,False,rs0083,False,False
False,False,True,False,False,False,rs0107,False,False
False,False,False,False,False,False,rs0113,False,False
False,False,False,False,False,True,rs0145,False,False
False,False,False,False,False,False,rs0149,True,False
False,False,False,False,False,True,rs0156,False,False
False,False,True,False,False,False,rs0159,False,False
False,False,False,False,False,False,rs0167,True,False
False,False,False,False,True,False,rs0181,False,False
False,False,False,False,False,False,rs0183,True,False
False,False,False,False,False,False,rs0192,False,True
False,False,False,False,False,False,rs0200,False,True
False,False,False,False,False,False,rs0234,False,False
False,False,False,False,True,False,rs0239,False,False
False,False,False,False,False,False,rs0240,False,False
False,False,False,False,False,False,rs0267,False,False
False,False,False,False,False,False,rs0268,False,False
False,False,False,False,False,False,rs0316,False,False
False,False,False,False,False,True,rs0318,False,False
False,False,False,False,False,False,rs0332,False,True
False,False,True,False,False,False,rs0378,False,False
False,False,False,False,False,True,rs0416,False,False
False,False,False,False,False,False,rs0418,False,False
False,False,False,False,False,False,rs0419,False,False
False,False,False,False,False,False,rs0420,False,False
False,False,False,False,False,False,rs0421,True,True
False,False,False,False,False,False,rs0444,False,False
False,False,False,False,False,True,rs0452,False,False
False,False,False,False,False,False,rs0463,False,False
False,False,False,False,False,False,rs0469,False,True
False,False,False,False,False,False,rs0519,False,False
False,False,False,False,False,False,rs0521,False,False
False,False,False,False,False,False,rs0572,False,False
False,False,False,False,False,False,rs0579,False,False
False,False,False,False,False,False,rs0598,False,False
False,False,False,False,False,False,rs0667,False,False
True,False,False,False,False,False,rs0672,False,False
False,False,False,False,False,False,rs0727,False,False
False,False,False,False,False,False,rs0754,False,False
False,False,False,False,False,False,rs0767,True,False
False,False,False,False,False,False,rs0797,False,False
