agntosf,ambigagn,composite,defliner,defseyf,defstarform,galname,heiisel,sftoagn
False,False,False,False,False,False,rf0002,False,True
False,False,False,False,False,True,rf0010,False,False
False,False,False,False,True,False,rf0013,False,False
False,False,False,False,False,True,rf0015,False,False
False,False,False,True,False,False,rf0016,False,False
False,False,False,False,False,False,rf0020,True,False
False,False,True,False,False,False,rf0022,True,False
False,False,True,False,False,False,rf0025,False,False
False,False,False,False,False,False,rf0031,True,False
False,False,False,False,False,False,rf0043,True,False
False,False,False,True,False,False,rf0055,False,False
False,False,True,False,False,False,rf0057,False,False
False,False,False,False,False,False,rf0059,False,True
False,False,False,False,False,False,rf0060,True,False
False,False,False,False,False,False,rf0071,True,False
False,False,False,False,False,True,rf0073,False,False
False,True,False,False,False,False,rf0075,True,False
False,False,False,False,False,True,rf0092,False,False
False,False,False,False,False,False,rf0098,True,False
False,False,False,False,False,False,rf0099,True,False
False,False,False,False,False,False,rf0106,False,True
False,True,False,False,False,False,rf0113,False,False
False,False,True,False,False,False,rf0115,False,False
False,False,False,False,False,False,rf0120,True,False
False,False,False,False,False,True,rf0125,False,False
False,False,False,False,True,False,rf0127,True,False
False,True,False,False,False,False,rf0133,False,False
False,False,False,True,False,False,rf0138,False,False
False,True,False,False,False,False,rf0139,False,False
False,False,False,False,False,False,rf0145,True,False
False,False,False,False,False,False,rf0147,True,False
False,False,False,False,True,False,rf0148,False,False
True,False,False,False,False,False,rf0149,False,False
False,False,False,False,False,True,rf0150,False,False
False,False,False,True,False,False,rf0158,False,False
False,False,False,False,False,False,rf0164,True,False
False,False,False,True,False,False,rf0166,False,False
False,False,False,False,False,False,rf0167,True,False
False,False,False,False,False,True,rf0170,False,False
False,False,False,False,False,True,rf0171,False,False
False,False,False,False,False,False,rf0173,True,False
False,False,True,False,False,False,rf0174,False,False
False,False,False,False,False,False,rf0177,False,True
False,False,False,False,False,True,rf0182,False,False
False,False,True,False,False,False,rf0190,True,False
False,False,False,False,False,True,rf0191,False,False
False,False,False,False,False,True,rf0199,False,False
False,False,False,False,False,True,rf0201,False,False
False,False,False,False,False,False,rf0206,True,False
False,True,False,False,False,False,rf0221,False,False
True,False,False,False,False,False,rf0233,False,False
False,False,False,False,False,False,rf0238,True,True
False,False,False,False,False,True,rf0241,False,False
False,False,False,False,False,True,rf0242,False,False
False,True,False,False,False,False,rf0244,False,False
False,False,False,False,False,True,rf0246,False,False
False,False,False,False,True,False,rf0248,True,False
False,False,False,False,False,True,rf0249,False,False
False,False,False,False,False,True,rf0250,False,False
False,False,True,False,False,False,rf0261,True,False
False,False,False,False,False,True,rf0266,False,False
False,False,False,False,False,True,rf0267,False,False
False,False,False,True,False,False,rf0271,False,False
False,False,False,True,False,False,rf0277,False,False
False,False,False,False,False,True,rf0283,False,False
False,True,False,False,False,False,rf0286,False,False
False,False,True,False,False,False,rf0287,False,False
False,False,False,True,False,False,rf0295,False,False
False,False,True,False,False,False,rf0309,False,False
False,True,False,False,False,False,rf0310,True,False
False,True,False,False,False,False,rf0315,True,False
False,False,False,True,False,False,rf0319,False,False
False,True,False,False,False,False,rf0324,False,False
False,False,False,True,False,False,rf0325,False,False
False,False,True,False,False,False,rf0329,False,False
False,False,False,False,False,True,rf0332,False,False
False,False,False,False,False,True,rf0333,False,False
False,False,False,False,False,False,rf0338,True,True
False,False,False,False,False,False,rf0339,True,False
False,False,False,False,False,False,rf0341,True,False
False,False,False,False,False,False,rf0343,True,False
False,False,False,False,False,False,rf0354,True,False
False,False,False,False,True,False,rf0362,True,False
False,False,False,False,False,True,rf0365,False,False
False,False,False,False,True,False,rf0372,True,False
False,False,False,True,False,False,rf0375,False,False
False,False,False,False,False,False,rf0376,True,True
False,False,False,True,False,False,rf0377,False,False
False,False,False,False,False,False,rf0383,True,False
False,False,False,False,False,True,rf0388,False,False
False,True,False,False,False,False,rf0389,False,False
