composite,defagn,defstarform,galname
False,False,True,rf0001
False,False,True,rf0003
False,False,True,rf0006
False,False,True,rf0007
False,False,True,rf0008
False,False,True,rf0010
False,False,True,rf0011
False,False,True,rf0014
False,False,True,rf0015
False,False,True,rf0017
False,False,True,rf0019
False,False,True,rf0020
False,False,True,rf0023
False,False,True,rf0024
False,False,True,rf0028
False,False,True,rf0029
False,False,True,rf0030
False,False,True,rf0031
False,False,True,rf0032
False,False,True,rf0033
False,False,True,rf0034
False,False,True,rf0040
False,False,True,rf0042
False,False,True,rf0043
False,False,True,rf0045
False,False,True,rf0048
False,False,True,rf0049
False,False,True,rf0051
False,False,True,rf0053
False,False,True,rf0058
False,False,True,rf0059
False,False,True,rf0060
False,False,True,rf0061
False,False,True,rf0062
False,False,True,rf0064
False,False,True,rf0065
False,False,True,rf0068
False,False,True,rf0071
False,False,True,rf0072
False,False,True,rf0073
False,False,True,rf0074
False,False,True,rf0076
False,False,True,rf0077
False,False,True,rf0079
False,False,True,rf0083
False,False,True,rf0084
False,False,True,rf0092
False,False,True,rf0098
False,False,True,rf0099
False,False,True,rf0102
False,False,True,rf0104
False,False,True,rf0106
False,False,True,rf0107
False,False,True,rf0108
False,False,True,rf0109
False,False,True,rf0110
False,False,True,rf0111
False,False,True,rf0117
False,False,True,rf0118
False,False,True,rf0119
False,False,True,rf0120
False,False,True,rf0122
False,False,True,rf0125
False,False,True,rf0126
False,False,True,rf0128
False,False,True,rf0129
False,False,True,rf0132
False,False,True,rf0134
False,False,True,rf0141
False,False,True,rf0143
False,False,True,rf0145
False,False,True,rf0147
False,False,True,rf0150
False,False,True,rf0154
False,False,True,rf0155
False,False,True,rf0156
False,False,True,rf0157
False,False,True,rf0160
False,False,True,rf0164
False,False,True,rf0165
False,False,True,rf0167
False,False,True,rf0169
False,False,True,rf0170
False,False,True,rf0171
False,False,True,rf0172
False,False,True,rf0173
False,False,True,rf0175
False,False,True,rf0176
False,False,True,rf0177
False,False,True,rf0179
False,False,True,rf0180
False,False,True,rf0181
False,False,True,rf0191
False,False,True,rf0192
False,False,True,rf0193
False,False,True,rf0195
